qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
1,2,01,114.8668,110.52069,119.2129,0.001148668,0.0022946992,100000,229.46991,499426.31,8435888,84.358879,84.106831
2,2,01,126.63845,121.54883,131.72807,0.0012663845,0.0025295643,100000,252.95642,499367.63,8433608,84.336075,83.993592
3,2,01,131.26726,125.23252,137.302,0.0013126726,0.0026219022,100000,262.19022,499344.53,8427008,84.270081,84.270081
4,2,01,147.255,141.02522,153.48479,0.0014725501,0.0029407677,100000,294.07678,499264.81,8405151,84.051514,84.051514
5,2,01,149.96559,144.78157,155.14961,0.0014996559,0.0029948184,100000,299.48184,499251.28,8341725,83.417252,83.417252
1,7,01,38.940445,36.5065,41.37439,0.00038940445,0.0007785057,99770.531,77.671928,498658.47,7936461.5,79.54715,79.551708
2,7,01,37.975029,35.26482,40.685238,0.0003797503,0.00075921224,99747.047,75.729179,498545.91,7934240,79.54361,79.328689
3,7,01,39.991188,36.551983,43.430393,0.00039991189,0.00079950399,99737.813,79.740776,498489.72,7927663,79.485031,79.485031
4,7,01,46.243973,42.584202,49.903744,0.00046243973,0.00092445186,99705.922,92.173325,498299.19,7905886,79.292038,79.292038
5,7,01,48.309559,44.965096,51.654018,0.00048309559,0.00096572458,99700.516,96.283241,498261.88,7842474,78.660316,78.660314
1,12,01,20.666115,18.929142,22.403088,0.00020666115,0.00041323688,99692.859,41.196766,498361.31,7437803,74.607178,74.756246
2,12,01,18.801151,16.842745,20.75956,0.00018801152,0.00037595234,99671.32,37.471664,498262.94,7435694,74.602142,74.561429
3,12,01,20.051077,17.607626,22.494528,0.00020051077,0.00040094115,99658.07,39.95702,498190.47,7429173.5,74.546631,74.546631
4,12,01,22.81365,20.096859,25.530441,0.0002281365,0.00045616893,99613.75,45.440697,497955.16,7407587,74.363098,74.363098
5,12,01,24.848822,22.384577,27.313068,0.00024848821,0.00049685297,99604.234,49.488659,497897.44,7344212,73.733932,73.73393
1,17,01,22.874365,20.951159,24.797571,0.00022874365,0.00045738267,99651.664,45.578945,498144.38,6939442,69.636993,69.806497
2,17,01,21.17079,18.982786,23.358791,0.0002117079,0.00042332616,99633.852,42.177616,498063.81,6937431,69.629257,69.594758
3,17,01,22.742935,19.893688,25.592184,0.00022742935,0.00045475527,99618.117,45.301865,497977.31,6930983,69.575523,69.575523
4,17,01,23.796803,20.987602,26.606005,0.00023796802,0.0004758228,99568.313,47.376873,497723.13,6909632,69.395897,69.395897
5,17,01,27.550608,25.071548,30.029667,0.00027550609,0.00055086036,99554.742,54.840763,497636.59,6846314.5,68.769348,68.769346
1,22,01,36.8951,34.687965,39.10223,0.00036895098,0.00073762977,99606.086,73.47242,497846.75,6441297.5,64.667709,64.761522
2,22,01,36.199512,33.614609,38.78442,0.00036199513,0.00072372827,99591.672,72.077309,497778.16,6439367.5,64.657692,64.668656
3,22,01,39.037163,35.918243,42.156086,0.00039037163,0.00078043854,99572.813,77.710457,497669.78,6433005.5,64.606041,64.606041
4,22,01,38.067711,35.171829,40.963596,0.00038067711,0.00076106447,99520.938,75.741852,497415.34,6411908.5,64.427734,64.427734
5,22,01,45.414112,42.662979,48.165241,0.00045414112,0.00090786989,99499.898,90.332962,497273.66,6348678,63.805874,63.805873
1,27,01,56.444759,54.042938,58.846581,0.0005644476,0.0011282583,99532.617,112.2985,497382.34,5943450.5,59.713593,59.472067
2,27,01,58.07021,55.075691,61.064728,0.00058070209,0.00116073,99519.594,115.51537,497309.19,5941589,59.702705,59.502297
3,27,01,62.865215,59.486183,66.244247,0.00062865217,0.0012565142,99495.102,125.01701,497162.97,5935336,59.654556,59.654556
4,27,01,62.414642,59.122841,65.706444,0.00062414643,0.001247514,99445.195,124.05928,496915.81,5914493.5,59.474903,59.474903
5,27,01,71.617973,68.683784,74.552162,0.00071617973,0.0014313341,99409.563,142.2883,496692.09,5851404,58.86158,58.86158
1,32,01,76.548798,73.787865,79.309723,0.00076548796,0.0015298045,99420.32,152.09366,496721.38,5446068.5,54.778221,54.346068
2,32,01,81.700844,78.52301,84.87867,0.00081700843,0.0016326826,99404.078,162.29532,496614.66,5444280,54.769184,54.378604
3,32,01,89.281746,85.551643,93.011848,0.00089281745,0.0017840416,99370.086,177.28036,496407.22,5438173,54.72646,54.72646
4,32,01,93.75042,89.80648,97.694351,0.00093750417,0.0018732516,99321.133,186.05347,496140.53,5417577.5,54.54607,54.54607
5,32,01,103.09187,99.826271,106.35746,0.0010309187,0.0020597132,99267.273,204.46211,495825.22,5354712,53.942371,53.942371
1,37,01,98.243721,95.145943,101.34151,0.00098243717,0.0019629453,99268.227,194.85811,495854,4949347,49.858318,49.631876
2,37,01,108.40993,104.96127,111.8586,0.0010840994,0.00216585,99241.781,214.94281,495671.53,4947665.5,49.854664,49.496442
3,37,01,120.3009,115.94812,124.65366,0.0012030089,0.0024031256,99192.805,238.37277,495368.09,4941765.5,49.819798,49.819798
4,37,01,129.84587,125.36105,134.33069,0.0012984587,0.0025935483,99135.078,257.1116,495032.63,4921437,49.643749,49.643749
5,37,01,145.12247,141.19644,149.04849,0.0014512247,0.0028982414,99062.813,287.10794,494596.28,4858887,49.048546,49.048545
1,42,01,151.03122,147.39203,154.67043,0.0015103122,0.003016067,99073.367,298.81192,494619.81,4453493,44.951462,44.979396
2,42,01,168.81053,164.65414,172.96693,0.0016881054,0.0033705179,99026.836,333.7717,494299.75,4451993.5,44.957447,44.807477
3,42,01,187.23064,182.10616,192.35512,0.0018723063,0.0037376103,98954.43,369.85309,493847.53,4446397.5,44.933788,44.933788
4,42,01,200.61205,195.26363,205.96046,0.0020061205,0.0040042028,98877.969,395.92743,493400.03,4426404.5,44.766338,44.766338
5,42,01,229.49631,224.47087,234.52173,0.002294963,0.0045794086,98775.703,452.33429,492747.69,4364290.5,44.183846,44.183846
1,47,01,322.48172,317.53357,327.42987,0.0032248171,0.0064288802,98774.555,635.00977,492285.25,3958873,40.079887,40.254799
2,47,01,352.86572,347.04465,358.6868,0.0035286571,0.0070324698,98693.063,694.05597,491730.19,3957694,40.10104,40.084804
3,47,01,378.70404,371.82559,385.58246,0.0037870405,0.0075454698,98584.578,743.86694,491063.22,3952550,40.092983,40.092983
4,47,01,393.76245,386.54269,400.98221,0.0039376244,0.0078443205,98482.039,772.52466,490478.88,3933004.5,39.93626,39.93626
5,47,01,438.79724,431.60434,445.99014,0.0043879724,0.0087375483,98323.367,859.10516,489469.09,3871543,39.375614,39.375613
1,52,01,658.7157,651.21838,666.21307,0.006587157,0.013087912,98139.547,1284.4418,487486.63,3466587.8,35.323048,35.542504
2,52,01,699.21448,690.55396,707.87494,0.0069921445,0.013886963,97999.008,1360.9086,486592.78,3465964,35.367336,35.430012
3,52,01,722.09979,711.72705,732.47247,0.0072209979,0.01433821,97840.711,1402.8607,485696.41,3461487,35.378799,35.378799
4,52,01,730.65924,720.28369,741.03479,0.0073065925,0.01450693,97709.516,1417.4652,485003.91,3442525.5,35.232243,35.232243
5,52,01,784.51935,774.15076,794.88794,0.0078451941,0.015567934,97464.266,1517.3173,483528.03,3382073.8,34.700653,34.700653
1,57,01,895.5791,885.7265,905.43176,0.0089557907,0.017752122,96855.102,1719.3837,479977.06,2979101,30.758327,31.026293
2,57,01,938.55121,927.34698,949.75549,0.0093855122,0.018595945,96638.102,1797.0768,478697.81,2979371,30.830191,30.931726
3,57,01,954.92255,941.57593,968.26917,0.0095492257,0.018917231,96437.852,1824.3372,477628.41,2975790.5,30.85708,30.85708
4,57,01,963.45984,951.27039,975.64929,0.0096345982,0.019084733,96292.047,1837.708,476865.97,2957521.5,30.714079,30.714079
5,57,01,1033.8167,1020.9625,1046.6708,0.010338167,0.020464044,95946.945,1963.4625,474826.06,2898545.8,30.209879,30.209879
1,62,01,988.33807,976.58887,1000.0873,0.0098833805,0.019572679,95135.719,1862.0609,471023.44,2499124,26.269039,26.552139
2,62,01,1035.7728,1023.2672,1048.2786,0.010357728,0.020502366,94841.023,1944.4653,469343.94,2500673.5,26.367001,26.474748
3,62,01,1057.6125,1044.0991,1071.126,0.010576125,0.020930111,94613.516,1980.2714,468116.91,2498162,26.40386,26.40386
4,62,01,1081.3462,1068.1659,1094.5265,0.010813462,0.021394739,94454.336,2020.8258,467219.63,2480655.5,26.263014,26.263014
5,62,01,1188.2841,1176.2653,1200.3029,0.011882841,0.023485502,93983.484,2207.2493,464399.31,2423719.8,25.788782,25.788782
1,67,01,1242.2711,1226.0249,1258.5173,0.012422712,0.024539316,93273.656,2288.8718,460646.09,2028100.5,21.743551,22.054044
2,67,01,1302.1362,1287.0967,1317.1757,0.013021362,0.025706537,92896.555,2388.0488,458512.66,2031329.4,21.866573,21.987815
3,67,01,1340.8801,1324.6313,1357.129,0.013408802,0.026461205,92633.242,2451.1873,457038.25,2030045.1,21.914865,21.914865
4,67,01,1390.1685,1375.8082,1404.5287,0.013901684,0.027420413,92433.508,2534.5649,455831.13,2013436,21.782534,21.782534
5,67,01,1560.6042,1547.686,1573.5226,0.015606043,0.030730017,91776.234,2820.2852,451830.47,1959320.4,21.348886,21.348886
1,72,01,2297.835,2269.895,2325.7749,0.022978351,0.044916686,90984.781,4086.7349,444707.06,1567454.5,17.227657,17.549047
2,72,01,2385.854,2360.0171,2411.6909,0.02385854,0.046596512,90508.508,4217.3809,441999.09,1572816.8,17.377558,17.541459
3,72,01,2462.946,2439.114,2486.7778,0.024629461,0.048065379,90182.055,4334.6348,440073.69,1573006.9,17.442572,17.442572
4,72,01,2559.5701,2539.0645,2580.0754,0.0255957,0.049903195,89898.945,4486.2446,438279.13,1557604.9,17.326176,17.326176
5,72,01,2867.781,2848.0747,2887.4873,0.02867781,0.055741787,88955.953,4958.564,432383.34,1507489.9,16.946476,16.946476
1,77,01,5809.9165,5768.8286,5851.0044,0.058099166,0.10970137,86898.047,9532.834,410658.16,1143255.9,13.15629,13.295529
2,77,01,5926.1484,5888.23,5964.0669,0.059261486,0.11176859,86291.125,9644.6377,407344.03,1130817.6,13.104681,13.2552
3,77,01,6097.2593,6060.3765,6134.1426,0.060972594,0.11480311,85847.422,9855.5518,404598.22,1132933.3,13.197056,13.197056
4,77,01,6288.5962,6257.1606,6320.0317,0.062885962,0.11818405,85412.703,10094.419,401827.47,1119325.8,13.10491,13.10491
5,77,01,6895.5513,6865.6094,6925.4932,0.068955511,0.1288238,83997.391,10820.863,392934.78,1075106.5,12.799285,12.799285
1,82,01,17174.939,17091.443,17258.436,0.1717494,0.29071566,77511.867,22533.916,331224.56,730625.25,9.4306631,9.621132
2,82,01,17138.459,17065.766,17211.152,0.17138459,0.29019797,76646.484,22242.654,327625.78,731423.88,9.5428238,9.640136
3,82,01,17523.543,17454.162,17592.924,0.17523544,0.29564366,75991.867,22466.514,323793.06,728335,9.5843811,9.584381
4,82,01,17847.77,17787.244,17908.297,0.17847769,0.30019629,75318.281,22610.27,320065.72,717498.25,9.5262165,9.526216
5,82,01,18966.049,18909.105,19022.992,0.18966049,0.31567407,73176.531,23099.934,308132.81,682171.75,9.3222752,9.322275
1,85,01,33428.578,33318.629,33538.527,0.3342858,0.48755997,55479.953,27049.805,410775.19,410775.19,7.4440408,7.548696
