qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
1,2,01,142.03287,137.31802,146.74771,0.0014203286,0.0028366265,100000,283.66266,499290.84,7930631,79.306313,79.004714
2,2,01,151.03374,145.85318,156.21431,0.0015103375,0.0030161173,100000,301.61172,499245.97,7853652,78.536522,78.396685
3,2,01,149.59099,143.52797,155.65402,0.0014959099,0.0029873487,100000,298.73486,499253.16,7805438.5,78.054382,78.040376
4,2,01,146.43141,140.25012,152.6127,0.0014643141,0.0029243438,100000,292.43439,499268.91,7786337,77.863373,77.863373
5,2,01,173.55933,168.19511,178.92354,0.0017355933,0.0034651691,100000,346.51691,499133.72,7699255,76.992554,76.992554
1,7,01,41.483624,38.982178,43.985073,0.00041483625,0.00082932843,99716.336,82.697594,498374.94,7431340,74.524796,74.524422
2,7,01,49.724827,46.604179,52.84547,0.00049724826,0.00099400221,99698.391,99.100418,498244.19,7354406,73.766548,73.677075
3,7,01,51.437592,47.668243,55.20694,0.00051437592,0.0010282228,99701.266,102.51511,498250.03,7315719.5,73.376396,73.335728
4,7,01,52.884918,49.014778,56.755062,0.0005288492,0.0010571392,99707.563,105.40478,498274.31,7287068,73.084404,73.084404
5,7,01,60.660122,57.116405,64.203835,0.00060660124,0.0012124669,99653.484,120.82655,497965.34,7200121.5,72.251579,72.251575
1,12,01,24.278063,22.417307,26.138819,0.00024278062,0.00048544336,99633.641,48.366489,498047.28,6932965,69.584579,69.677171
2,12,01,29.424126,27.039223,31.809029,0.00029424127,0.00058830943,99599.289,58.5952,497849.97,6856162,68.837463,68.758227
3,12,01,31.565744,28.560328,34.571159,0.00031565744,0.00063111563,99600.375,62.859356,497844.72,6815844,68.431923,68.422534
4,12,01,33.410061,30.072168,36.747952,0.00033410059,0.00066797802,99602.156,66.532051,497844.44,6788794,68.159103,68.159103
5,12,01,37.268986,34.387875,40.150097,0.00037268986,0.00074510201,99532.656,74.16198,497477.88,6702156,67.33625,67.33625
1,17,01,42.171116,39.649174,44.693058,0.00042171116,0.00084306672,99585.273,83.957031,497716.47,6434917.5,64.617157,64.749643
2,17,01,44.110569,41.136044,47.085094,0.00044110569,0.00088182231,99540.695,87.777206,497484.03,6358312,63.876507,63.842252
3,17,01,48.354382,44.584602,52.124161,0.00048354382,0.00096662017,99537.516,96.214973,497447.06,6317999,63.473564,63.483488
4,17,01,51.130482,47.345745,54.915222,0.00051130482,0.0010220869,99535.625,101.73407,497423.78,6290949.5,63.202991,63.202992
5,17,01,56.037575,52.623955,59.451195,0.00056037575,0.0011201237,99458.492,111.40581,497013.94,6204678,62.384598,62.384598
